level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3600	2160	-1	
2	1	1	0	0	0	578	71	586	37	-1	
3	1	1	1	0	0	578	71	586	37	-1	
4	1	1	1	1	0	578	71	586	37	-1	
5	1	1	1	1	1	578	72	34	34	91.651657	@
5	1	1	1	1	2	654	71	32	37	61.298069	WA
5	1	1	1	1	3	705	77	166	22	5.068474	handwritten
5	1	1	1	1	4	883	78	135	25	0.000000	note-Pap>)
5	1	1	1	1	5	1068	80	19	18	88.654266	x
5	1	1	1	1	6	1140	77	24	24	88.587593	+
2	1	2	0	0	0	478	149	177	29	-1	
3	1	2	1	0	0	478	149	177	29	-1	
4	1	2	1	1	0	478	149	177	29	-1	
5	1	2	1	1	1	478	150	28	27	72.099136	€
5	1	2	1	1	2	627	149	28	29	55.937099	Cc
2	1	3	0	0	0	475	220	354	37	-1	
3	1	3	1	0	0	475	220	354	37	-1	
4	1	3	1	1	0	475	220	354	37	-1	
5	1	3	1	1	1	475	221	34	34	62.381554	oo
5	1	3	1	1	2	580	220	31	37	50.349648	@
5	1	3	1	1	3	631	226	128	26	93.166733	Paperless
5	1	3	1	1	4	771	227	58	21	93.166000	NGX
2	1	4	0	0	0	490	324	326	45	-1	
3	1	4	1	0	0	490	324	326	45	-1	
4	1	4	1	1	0	490	324	326	45	-1	
5	1	4	1	1	1	490	324	38	45	45.176697	J
5	1	4	1	1	2	570	332	246	35	75.526901	Paperless-ngx
2	1	5	0	0	0	491	467	226	33	-1	
3	1	5	1	0	0	491	467	226	33	-1	
4	1	5	1	1	0	491	467	226	33	-1	
5	1	5	1	1	1	491	467	36	33	71.062576	(}
5	1	5	1	1	2	549	468	168	26	96.331062	Dashboard
2	1	6	0	0	0	549	558	185	25	-1	
3	1	6	1	0	0	494	551	240	39	-1	
4	1	6	1	1	0	549	558	185	25	-1	
5	1	6	1	1	1	549	558	185	25	96.595810	Documents
2	1	7	0	0	0	491	708	347	111	-1	
3	1	7	1	0	0	491	708	347	111	-1	
4	1	7	1	1	0	491	708	272	21	-1	
5	1	7	1	1	1	491	708	76	21	96.475342	OPEN
5	1	7	1	1	2	580	708	183	21	96.245995	DOCUMENTS
4	1	7	1	2	0	494	780	344	39	-1	
5	1	7	1	2	1	494	780	29	39	39.326233	=]
5	1	7	1	2	2	548	786	78	26	96.074013	hand
5	1	7	1	2	3	638	785	116	27	96.688240	written
5	1	7	1	2	4	767	789	71	23	96.438377	note
2	1	8	0	0	0	501	875	177	26	-1	
3	1	8	1	0	0	501	875	177	26	-1	
4	1	8	1	1	0	501	875	177	26	-1	
5	1	8	1	1	1	501	880	16	16	95.881905	x
5	1	8	1	1	2	548	875	87	26	94.928604	Close
5	1	8	1	1	3	646	875	32	25	94.928604	all
2	1	9	0	0	0	490	1007	323	643	-1	
3	1	9	1	0	0	492	1007	309	109	-1	
4	1	9	1	1	0	492	1007	121	20	-1	
5	1	9	1	1	1	492	1007	121	20	96.850204	MANAGE
4	1	9	1	2	0	548	1085	253	31	-1	
5	1	9	1	2	1	548	1085	253	31	96.362228	Correspondents
3	1	9	2	0	0	490	1170	130	35	-1	
4	1	9	2	1	0	490	1170	130	35	-1	
5	1	9	2	1	1	490	1170	37	35	83.118286	©
5	1	9	2	1	2	548	1175	72	30	96.455559	Tags
3	1	9	3	0	0	500	1263	313	31	-1	
4	1	9	3	1	0	500	1263	313	31	-1	
5	1	9	3	1	1	500	1263	20	25	93.279053	#
5	1	9	3	1	2	549	1264	160	24	96.646355	Document
5	1	9	3	1	3	720	1264	93	30	96.707550	Types
3	1	9	4	0	0	490	1348	278	35	-1	
4	1	9	4	1	0	490	1348	278	35	-1	
5	1	9	4	1	1	490	1348	37	31	82.906815	(5
5	1	9	4	1	2	548	1352	122	31	95.400459	Storage
5	1	9	4	1	3	683	1352	85	25	96.846924	Paths
3	1	9	5	0	0	490	1437	281	33	-1	
4	1	9	5	1	0	490	1437	281	33	-1	
5	1	9	5	1	1	490	1437	36	33	14.648342	8=
5	1	9	5	1	2	548	1441	119	25	96.287376	Custom
5	1	9	5	1	3	681	1440	90	26	96.380341	Fields
3	1	9	6	0	0	492	1528	253	29	-1	
4	1	9	6	1	0	492	1528	253	29	-1	
5	1	9	6	1	1	492	1528	34	29	0.000000	[
5	1	9	6	1	2	548	1529	93	26	95.236092	Saved
5	1	9	6	1	3	654	1529	91	25	95.766121	Views
3	1	9	7	0	0	490	1612	221	38	-1	
4	1	9	7	1	0	490	1612	221	38	-1	
5	1	9	7	1	1	490	1612	38	38	88.717201	&
5	1	9	7	1	2	548	1618	163	25	96.760612	Workflows
2	1	10	0	0	0	490	1705	119	29	-1	
3	1	10	1	0	0	490	1705	119	29	-1	
4	1	10	1	1	0	490	1705	119	29	-1	
5	1	10	1	1	1	490	1705	38	29	86.916397	&
5	1	10	1	1	2	549	1706	60	26	95.687225	Mail
2	1	11	0	0	0	493	1789	140	37	-1	
3	1	11	1	0	0	493	1789	140	37	-1	
4	1	11	1	1	0	493	1789	140	37	-1	
5	1	11	1	1	1	493	1789	31	37	85.074158	W
5	1	11	1	1	2	548	1795	85	26	95.124344	Trash
2	1	12	0	0	0	491	1946	245	21	-1	
3	1	12	1	0	0	491	1946	245	21	-1	
4	1	12	1	1	0	491	1946	245	21	-1	
5	1	12	1	1	1	491	1946	245	21	95.993858	ADMINISTRATION
2	1	13	0	0	0	490	2019	187	36	-1	
3	1	13	1	0	0	490	2019	187	36	-1	
4	1	13	1	1	0	490	2019	187	36	-1	
5	1	13	1	1	1	490	2019	38	36	11.843243	{>
5	1	13	1	1	2	548	2023	129	32	96.756073	Settings
2	1	14	0	0	0	707	148	753	33	-1	
3	1	14	1	0	0	707	148	753	33	-1	
4	1	14	1	1	0	707	148	753	33	-1	
5	1	14	1	1	1	707	148	31	31	36.720196	®
5	1	14	1	1	2	766	150	694	31	55.985485	http://localhost:8000/documents/141/details
2	1	15	0	0	0	871	221	225	33	-1	
3	1	15	1	0	0	871	221	225	33	-1	
4	1	15	1	1	0	871	221	225	33	-1	
5	1	15	1	1	1	871	221	34	33	92.627357	@
5	1	15	1	1	2	924	226	128	26	95.752457	Paperless
5	1	15	1	1	3	1063	227	33	25	96.901840	Ag
2	1	16	0	0	0	966	474	506	49	-1	
3	1	16	1	0	0	966	474	506	49	-1	
4	1	16	1	1	0	966	474	506	49	-1	
5	1	16	1	1	1	966	475	141	48	96.318695	hand
5	1	16	1	1	2	1126	474	199	49	96.378403	written
5	1	16	1	1	3	1347	479	125	44	96.347290	note
2	1	17	0	0	0	987	587	485	31	-1	
3	1	17	1	0	0	987	587	485	31	-1	
4	1	17	1	1	0	987	587	485	31	-1	
5	1	17	1	1	1	987	588	74	30	95.250656	Page
5	1	17	1	1	2	1105	588	9	24	95.250656	1
5	1	17	1	1	3	1214	587	27	25	92.750450	of
5	1	17	1	1	4	1254	588	10	24	92.750450	1
5	1	17	1	1	5	1332	602	11	2	92.819763	-
5	1	17	1	1	6	1388	588	84	25	94.004318	100%
2	1	18	0	0	0	963	751	81	73	-1	
3	1	18	1	0	0	963	751	81	73	-1	
4	1	18	1	1	0	963	751	81	73	-1	
5	1	18	1	1	1	963	751	81	73	28.477936	[|
2	1	19	0	0	0	965	905	112	27	-1	
3	1	19	1	0	0	965	905	112	27	-1	
4	1	19	1	1	0	965	905	112	27	-1	
5	1	19	1	1	1	965	905	112	27	96.291000	Details
2	1	20	0	0	0	1044	751	2	73	-1	
3	1	20	1	0	0	1044	751	2	73	-1	
4	1	20	1	1	0	1044	751	2	73	-1	
5	1	20	1	1	1	1044	751	2	73	95.000000	 
2	1	21	0	0	0	1118	906	436	26	-1	
3	1	21	1	0	0	1118	906	436	26	-1	
4	1	21	1	1	0	1118	906	436	26	-1	
5	1	21	1	1	1	1118	907	121	25	94.035316	Content
5	1	21	1	1	2	1282	906	141	26	92.397636	Metadata
5	1	21	1	1	3	1466	908	88	24	94.775536	Notes
2	1	22	0	0	0	964	1036	577	25	-1	
3	1	22	1	0	0	964	1036	577	25	-1	
4	1	22	1	1	0	964	1036	577	25	-1	
5	1	22	1	1	1	964	1036	65	25	96.476555	Title
5	1	22	1	1	2	1273	1036	72	25	96.987907	hand
5	1	22	1	1	3	1358	1036	104	25	95.818260	written
5	1	22	1	1	4	1476	1038	65	23	96.938866	note
2	1	23	0	0	0	964	1141	204	76	-1	
3	1	23	1	0	0	964	1141	204	76	-1	
4	1	23	1	1	0	964	1141	204	26	-1	
5	1	23	1	1	1	964	1142	114	25	96.913620	Archive
5	1	23	1	1	2	1090	1141	78	26	96.085640	serial
4	1	23	1	2	0	965	1192	116	25	-1	
5	1	23	1	2	1	965	1192	116	25	96.854454	number
2	1	24	0	0	0	966	1301	487	31	-1	
3	1	24	1	0	0	966	1301	487	31	-1	
4	1	24	1	1	0	966	1301	487	31	-1	
5	1	24	1	1	1	966	1302	68	24	96.943954	Date
5	1	24	1	1	2	1046	1301	114	25	96.691200	created
5	1	24	1	1	3	1273	1301	180	31	96.551704	05/06/2026
2	1	25	0	0	0	965	1431	230	31	-1	
3	1	25	1	0	0	965	1431	230	31	-1	
4	1	25	1	1	0	965	1431	230	31	-1	
5	1	25	1	1	1	965	1431	230	31	96.439560	Correspondent
2	1	26	0	0	0	964	1541	158	81	-1	
3	1	26	1	0	0	964	1541	158	81	-1	
4	1	26	1	1	0	966	1541	156	24	-1	
5	1	26	1	1	1	966	1541	156	24	96.375999	Document
4	1	26	1	2	0	964	1593	66	29	-1	
5	1	26	1	2	1	964	1593	66	29	96.608482	type
2	1	27	0	0	0	965	1700	196	31	-1	
3	1	27	1	0	0	965	1700	196	31	-1	
4	1	27	1	1	0	965	1700	196	31	-1	
5	1	27	1	1	1	965	1700	118	31	96.710464	Storage
5	1	27	1	1	2	1096	1700	65	31	96.981888	path
2	1	28	0	0	0	964	1830	70	30	-1	
3	1	28	1	0	0	964	1830	70	30	-1	
4	1	28	1	1	0	964	1830	70	30	-1	
5	1	28	1	1	1	964	1830	70	30	96.835014	Tags
2	1	29	0	0	0	1653	751	2	73	-1	
3	1	29	1	0	0	1653	751	2	73	-1	
4	1	29	1	1	0	1653	751	2	73	-1	
5	1	29	1	1	1	1653	751	2	73	95.000000	 
2	1	30	0	0	0	1677	747	333	81	-1	
3	1	30	1	0	0	1677	747	334	81	-1	
4	1	30	1	1	0	1677	747	333	81	-1	
5	1	30	1	1	1	1677	776	69	23	93.273399	Save
5	1	30	1	1	2	1760	776	19	23	92.724098	&
5	1	30	1	1	3	1792	775	78	24	96.820892	close
5	1	30	1	1	4	1888	747	14	81	69.104286	|
5	1	30	1	1	5	1921	747	62	81	87.943054	Save
5	1	30	1	1	6	1996	747	14	81	68.755638	|
2	1	31	0	0	0	1596	906	333	32	-1	
3	1	31	1	0	0	1596	906	333	32	-1	
4	1	31	1	1	0	1596	906	333	32	-1	
5	1	31	1	1	1	1596	906	108	32	94.800034	History
5	1	31	1	1	2	1746	906	183	26	94.800034	Permissions
2	1	32	0	0	0	1653	1967	2	74	-1	
3	1	32	1	0	0	1653	1967	2	74	-1	
4	1	32	1	1	0	1653	1967	2	74	-1	
5	1	32	1	1	1	1653	1967	2	74	95.000000	 
2	1	33	0	0	0	1677	1963	334	82	-1	
3	1	33	1	0	0	1677	1963	334	82	-1	
4	1	33	1	1	0	1677	1963	334	82	-1	
5	1	33	1	1	1	1677	1992	69	24	93.259720	Save
5	1	33	1	1	2	1760	1993	19	23	92.287994	&
5	1	33	1	1	3	1792	1992	78	24	96.120552	close
5	1	33	1	1	4	1888	1963	123	82	76.732117	ES
2	1	34	0	0	0	2798	142	283	40	-1	
3	1	34	1	0	0	2798	142	283	40	-1	
4	1	34	1	1	0	2798	142	283	40	-1	
5	1	34	1	1	1	2798	142	283	40	43.031101	Score
5	1	34	1	1	2	2954	138	35	52	5.092020	OO
5	1	34	1	1	3	3040	138	45	52	74.532188	©
2	1	35	0	0	0	2087	562	1008	77	-1	
3	1	35	1	0	0	2087	562	1008	77	-1	
4	1	35	1	1	0	2087	562	1008	77	-1	
5	1	35	1	1	1	2087	583	39	34	21.286516	.,
5	1	35	1	1	2	2139	587	149	25	96.604019	Download
5	1	35	1	1	3	2307	562	26	77	37.232227	|
5	1	35	1	1	4	2358	566	11	69	83.217667	|
5	1	35	1	1	5	2801	583	36	34	65.118965	S=
5	1	35	1	1	6	2850	588	116	25	95.969887	Custom
5	1	35	1	1	7	2980	587	87	25	93.252327	Fields
5	1	35	1	1	8	3078	594	17	9	33.499901	v
2	1	36	0	0	0	2312	1109	521	64	-1	
3	1	36	1	0	0	2312	1109	521	64	-1	
4	1	36	1	1	0	2312	1109	521	64	-1	
5	1	36	1	1	1	2312	1112	88	61	56.326096	Moy
5	1	36	1	1	2	2444	1116	21	39	41.952354	4
5	1	36	1	1	3	2495	1133	16	5	41.952354	—
5	1	36	1	1	4	2546	1111	90	39	94.691177	south
5	1	36	1	1	5	2677	1110	61	55	97.012535	hay
5	1	36	1	1	6	2782	1109	51	38	96.630005	lot
2	1	37	0	0	0	2316	1232	556	54	-1	
3	1	37	1	0	0	2316	1232	556	54	-1	
4	1	37	1	1	0	2316	1232	556	54	-1	
5	1	37	1	1	1	2316	1235	123	41	96.473312	loader
5	1	37	1	1	2	2485	1235	80	36	95.841232	slow
5	1	37	1	1	3	2608	1232	122	54	95.834427	lifting
5	1	37	1	1	4	2771	1237	101	46	95.801376	again
2	1	38	0	0	0	2303	1342	662	93	-1	
3	1	38	1	0	0	2303	1342	662	93	-1	
4	1	38	1	1	0	2303	1342	662	93	-1	
5	1	38	1	1	1	2303	1349	182	67	95.911354	check
5	1	38	1	1	2	2533	1347	264	88	42.702293	hydraulic
5	1	38	1	1	3	2844	1342	121	64	96.121933	hose
2	1	39	0	0	0	2306	1500	629	291	-1	
