level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3600	2160	-1	
2	1	1	0	0	0	494	46	2639	5	-1	
3	1	1	1	0	0	494	46	2639	5	-1	
4	1	1	1	1	0	494	46	2639	5	-1	
5	1	1	1	1	1	494	46	2639	5	95.000000	 
2	1	2	0	0	0	595	90	953	34	-1	
3	1	2	1	0	0	595	90	953	34	-1	
4	1	2	1	1	0	595	90	953	34	-1	
5	1	2	1	1	1	595	90	34	34	50.474342	@®
5	1	2	1	1	2	681	97	25	19	96.815010	=
5	1	2	1	1	3	768	94	65	25	95.473282	Find
5	1	2	1	1	4	844	94	134	25	95.473282	fertilizer
5	1	2	1	1	5	989	94	321	25	94.261475	recommendations
5	1	2	1	1	6	1286	90	36	38	22.547874	in
5	1	2	1	1	7	1322	94	177	25	22.547874	documents
5	1	2	1	1	8	1526	100	22	14	49.201782	Vv
2	1	3	0	0	0	576	227	1647	156	-1	
3	1	3	1	0	0	576	227	1647	156	-1	
4	1	3	1	1	0	576	227	1546	41	-1	
5	1	3	1	1	1	576	230	54	28	95.581284	AR
5	1	3	1	1	2	638	229	229	38	95.581284	stewardship
5	1	3	1	1	3	877	236	188	32	96.602295	summary:
5	1	3	1	1	4	1075	229	201	39	96.398010	Anhydrous
5	1	3	1	1	5	1286	229	49	29	96.581589	for
5	1	3	1	1	6	1344	229	145	39	93.084747	primary
5	1	3	1	1	7	1499	230	30	28	93.084747	N
5	1	3	1	1	8	1541	227	104	37	95.477432	(knife
5	1	3	1	1	9	1656	227	180	40	96.587914	injection),
5	1	3	1	1	10	1847	230	79	28	96.036964	DAP
5	1	3	1	1	11	1936	229	49	29	93.023521	for
5	1	3	1	1	12	1995	230	25	34	91.733185	P,
5	1	3	1	1	13	2030	229	55	29	91.562340	fall
5	1	3	1	1	14	2095	230	27	28	91.562340	K
4	1	3	1	2	0	576	284	1647	41	-1	
5	1	3	1	2	1	576	287	208	38	96.475113	application,
5	1	3	1	2	2	795	287	113	38	93.083794	spring
5	1	3	1	2	3	917	288	31	28	93.083794	N
5	1	3	1	2	4	958	286	66	30	93.264008	and
5	1	3	1	2	5	1033	288	25	33	92.450974	P,
5	1	3	1	2	6	1069	294	137	22	93.196960	manure
5	1	3	1	2	7	1217	286	164	39	91.918068	pre-plant
5	1	3	1	2	8	1391	294	44	22	96.486649	on
5	1	3	1	2	9	1445	294	79	22	96.303284	corn
5	1	3	1	2	10	1535	294	90	22	96.876404	acres
5	1	3	1	2	11	1635	286	78	39	95.942932	only
5	1	3	1	2	12	1723	287	115	29	93.231964	within
5	1	3	1	2	13	1849	287	118	29	92.564278	MPCA
5	1	3	1	2	14	1976	286	155	30	95.713615	setbacks
5	1	3	1	2	15	2144	284	79	38	96.947701	(300
